
==================== Starting Pipeline Iteration 0/10 ====================
--- Self-Play Stage (Model 0 -> Data 0) ---
=== Multi-process Self-Play Start ===
Workers: 8 | Total Episodes: 200 | MCTS Iters: 2000
----------------------------------------------------------------------
[Episode  25] Finished | Winner: White (2) | Moves:  26 | Time: 226.5s
[Episode  37] Finished | Winner: White (2) | Moves:  44 | Time: 242.8s
[Episode   7] Finished | Winner: Black (1) | Moves:  33 | Time: 266.1s
[Episode  31] Finished | Winner: Black (1) | Moves:  35 | Time: 281.7s
[Episode   2] Finished | Winner: White (2) | Moves:  28 | Time: 205.6s
[Episode  19] Finished | Winner: White (2) | Moves:  38 | Time: 336.4s
[Episode  26] Finished | Winner: White (2) | Moves:  28 | Time: 182.1s
[Episode  38] Finished | Winner: Black (1) | Moves:  25 | Time: 196.8s
[Episode  44] Finished | Winner: Black (1) | Moves:  35 | Time: 260.4s
[Episode  14] Finished | Winner: White (2) | Moves:  32 | Time: 244.2s
[Episode   8] Finished | Winner: White (2) | Moves:  36 | Time: 200.5s
[Episode   3] Finished | Winner: White (2) | Moves:  24 | Time: 212.4s
[Episode  20] Finished | Winner: White (2) | Moves:  20 | Time: 179.3s
[Episode  32] Finished | Winner: Black (1) | Moves:  29 | Time: 289.4s
[Episode  27] Finished | Winner: Black (1) | Moves:  41 | Time: 188.1s
[Episode  39] Finished | Winner: White (2) | Moves:  30 | Time: 226.7s
[Episode   9] Finished | Winner: White (2) | Moves:  28 | Time: 226.2s
[Episode  45] Finished | Winner: Black (1) | Moves:  45 | Time: 285.5s
[Episode   4] Finished | Winner: Black (1) | Moves:  35 | Time: 240.9s
[Episode  21] Finished | Winner: Black (1) | Moves:  37 | Time: 240.0s
[Episode  15] Finished | Winner: White (2) | Moves:  46 | Time: 328.9s
[Episode  28] Finished | Winner: Black (1) | Moves:  31 | Time: 227.8s
[Episode   5] Finished | Winner: White (2) | Moves:  12 | Time: 111.4s
[Episode  33] Finished | Winner: White (2) | Moves:  40 | Time: 343.0s
[Episode  40] Finished | Winner: White (2) | Moves:  32 | Time: 261.8s
[Episode  22] Finished | Winner: White (2) | Moves:  28 | Time: 197.5s
[Episode  16] Finished | Winner: Black (1) | Moves:  27 | Time: 208.8s
[Episode  10] Finished | Winner: White (2) | Moves:  34 | Time: 304.8s
[Episode   6] Finished | Winner: White (2) | Moves:  20 | Time: 171.3s
[Episode  46] Finished | Winner: White (2) | Moves:  40 | Time: 300.1s
[Episode  29] Finished | Winner: Black (1) | Moves:  33 | Time: 231.6s
[Episode  41] Finished | Winner: White (2) | Moves:  20 | Time: 175.7s
[Episode  34] Finished | Winner: Black (1) | Moves:  23 | Time: 210.2s
[Episode  11] Finished | Winner: White (2) | Moves:  18 | Time: 139.5s
[Episode  23] Finished | Winner: Black (1) | Moves:  39 | Time: 244.4s
[Episode  49] Finished | Winner: Black (1) | Moves:  23 | Time: 177.9s
[Episode  17] Finished | Winner: White (2) | Moves:  34 | Time: 237.0s
[Episode  30] Finished | Winner: Black (1) | Moves:  25 | Time: 197.2s
[Episode  42] Finished | Winner: Black (1) | Moves:  33 | Time: 211.9s
[Episode  47] Finished | Winner: Black (1) | Moves:  47 | Time: 286.1s
[Episode  35] Finished | Winner: Black (1) | Moves:  19 | Time: 205.6s
[Episode  50] Finished | Winner: White (2) | Moves:  32 | Time: 165.3s
[Episode  24] Finished | Winner: White (2) | Moves:  30 | Time: 199.3s
[Episode  55] Finished | Winner: Black (1) | Moves:  23 | Time: 151.5s
[Episode  12] Finished | Winner: Black (1) | Moves:  49 | Time: 292.5s
[Episode  18] Finished | Winner: Black (1) | Moves:  43 | Time: 277.3s
[Episode  61] Finished | Winner: White (2) | Moves:  32 | Time: 236.1s
[Episode  51] Finished | Winner: Black (1) | Moves:  25 | Time: 216.5s
[Episode  56] Finished | Winner: Black (1) | Moves:  37 | Time: 231.7s
[Episode  48] Finished | Winner: White (2) | Moves:  40 | Time: 328.4s
[Episode  36] Finished | Winner: White (2) | Moves:  50 | Time: 343.0s
[Episode  67] Finished | Winner: Black (1) | Moves:  35 | Time: 293.6s
[Episode  73] Finished | Winner: Black (1) | Moves:  35 | Time: 270.5s
[Episode  62] Finished | Winner: White (2) | Moves:  20 | Time: 160.9s
[Episode  79] Finished | Winner: White (2) | Moves:  26 | Time: 204.9s
[Episode  85] Finished | Winner: Black (1) | Moves:  17 | Time: 125.8s
[Episode  68] Finished | Winner: Black (1) | Moves:  31 | Time: 198.4s
[Episode  86] Finished | Winner: Black (1) | Moves:  21 | Time: 143.7s
[Episode  63] Finished | Winner: White (2) | Moves:  28 | Time: 217.5s
[Episode  52] Finished | Winner: Black (1) | Moves:  49 | Time: 335.6s
[Episode  74] Finished | Winner: Black (1) | Moves:  27 | Time: 245.1s
[Episode  91] Finished | Winner: Black (1) | Moves:  39 | Time: 284.0s
[Episode  80] Finished | Winner: White (2) | Moves:  32 | Time: 241.4s
[Episode  57] Finished | Winner: Black (1) | Moves:  45 | Time: 330.0s
[Episode  69] Finished | Winner: White (2) | Moves:  26 | Time: 167.5s
[Episode  64] Finished | Winner: Black (1) | Moves:  19 | Time: 164.8s
[Episode  75] Finished | Winner: Black (1) | Moves:  27 | Time: 206.3s
[Episode  53] Finished | Winner: White (2) | Moves:  36 | Time: 219.1s
[Episode  87] Finished | Winner: Black (1) | Moves:  33 | Time: 236.1s
[Episode  70] Finished | Winner: Black (1) | Moves:  19 | Time: 136.8s
[Episode  81] Finished | Winner: Black (1) | Moves:  25 | Time: 240.3s
[Episode  92] Finished | Winner: White (2) | Moves:  30 | Time: 249.1s
[Episode  58] Finished | Winner: White (2) | Moves:  36 | Time: 288.9s
[Episode  76] Finished | Winner: White (2) | Moves:  22 | Time: 133.5s
[Episode  88] Finished | Winner: Black (1) | Moves:  17 | Time: 142.5s
[Episode  82] Finished | Winner: Black (1) | Moves:  15 | Time: 112.1s
[Episode  65] Finished | Winner: White (2) | Moves:  38 | Time: 235.0s
[Episode  71] Finished | Winner: Black (1) | Moves:  19 | Time: 169.2s
[Episode  59] Finished | Winner: Black (1) | Moves:  21 | Time: 164.3s
[Episode  93] Finished | Winner: Black (1) | Moves:  23 | Time: 223.7s
[Episode  54] Finished | Winner: Black (1) | Moves:  35 | Time: 308.4s
[Episode  77] Finished | Winner: Black (1) | Moves:  39 | Time: 193.0s
[Episode  66] Finished | Winner: White (2) | Moves:  18 | Time: 169.1s
[Episode  89] Finished | Winner: White (2) | Moves:  28 | Time: 204.6s
[Episode  72] Finished | Winner: Black (1) | Moves:  29 | Time: 203.6s
[Episode  60] Finished | Winner: White (2) | Moves:  18 | Time: 163.7s
[Episode  83] Finished | Winner: Black (1) | Moves:  41 | Time: 330.1s
[Episode  78] Finished | Winner: White (2) | Moves:  30 | Time: 196.5s
[Episode  97] Finished | Winner: Black (1) | Moves:  27 | Time: 221.7s
[Episode  94] Finished | Winner: White (2) | Moves:  32 | Time: 302.0s
[Episode 103] Finished | Winner: White (2) | Moves:  50 | Time: 278.0s
[Episode 109] Finished | Winner: White (2) | Moves:  38 | Time: 250.3s
[Episode  90] Finished | Winner: Black (1) | Moves:  41 | Time: 323.4s
[Episode 121] Finished | Winner: Black (1) | Moves:  23 | Time: 174.0s
[Episode  98] Finished | Winner: Black (1) | Moves:  23 | Time: 192.9s
[Episode 115] Finished | Winner: White (2) | Moves:  48 | Time: 294.3s
[Episode  84] Finished | Winner: Black (1) | Moves:  41 | Time: 260.3s
[Episode 116] Finished | Winner: White (2) | Moves:  18 | Time: 129.0s
[Episode 122] Finished | Winner: White (2) | Moves:  20 | Time: 165.2s
[Episode  95] Finished | Winner: Black (1) | Moves:  47 | Time: 288.3s
[Episode 104] Finished | Winner: White (2) | Moves:  32 | Time: 271.2s
[Episode 127] Finished | Winner: White (2) | Moves:  32 | Time: 216.2s
[Episode  99] Finished | Winner: White (2) | Moves:  30 | Time: 228.0s
[Episode 110] Finished | Winner: White (2) | Moves:  36 | Time: 305.3s
[Episode 133] Finished | Winner: Black (1) | Moves:  35 | Time: 265.8s
[Episode 123] Finished | Winner: White (2) | Moves:  22 | Time: 198.4s
[Episode 117] Finished | Winner: White (2) | Moves:  30 | Time: 233.0s
[Episode 105] Finished | Winner: White (2) | Moves:  30 | Time: 239.6s
[Episode  96] Finished | Winner: White (2) | Moves:  30 | Time: 269.2s
[Episode 128] Finished | Winner: Black (1) | Moves:  39 | Time: 285.8s
[Episode 100] Finished | Winner: Black (1) | Moves:  33 | Time: 241.3s
[Episode 124] Finished | Winner: White (2) | Moves:  28 | Time: 206.1s
[Episode 134] Finished | Winner: White (2) | Moves:  28 | Time: 260.2s
[Episode 111] Finished | Winner: Black (1) | Moves:  43 | Time: 315.1s
[Episode 118] Finished | Winner: White (2) | Moves:  28 | Time: 214.3s
[Episode 101] Finished | Winner: White (2) | Moves:  24 | Time: 170.5s
[Episode 129] Finished | Winner: Black (1) | Moves:  27 | Time: 195.1s
[Episode 125] Finished | Winner: Black (1) | Moves:  27 | Time: 125.6s
[Episode 106] Finished | Winner: Black (1) | Moves:  33 | Time: 274.1s
[Episode 139] Finished | Winner: White (2) | Moves:  36 | Time: 319.1s
[Episode 135] Finished | Winner: Black (1) | Moves:  31 | Time: 252.0s
[Episode 102] Finished | Winner: Black (1) | Moves:  21 | Time: 166.7s
[Episode 112] Finished | Winner: Black (1) | Moves:  29 | Time: 250.2s
[Episode 126] Finished | Winner: Black (1) | Moves:  19 | Time: 153.6s
[Episode 119] Finished | Winner: White (2) | Moves:  30 | Time: 250.4s
[Episode 130] Finished | Winner: White (2) | Moves:  38 | Time: 259.0s
[Episode 140] Finished | Winner: Black (1) | Moves:  21 | Time: 187.0s
[Episode 113] Finished | Winner: Black (1) | Moves:  17 | Time: 145.6s
